brandname,details,sizes,mrp,sellprice,discount,category
Indya,floral silk regular fit womens maxi skirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",0.0,3850,Nan,Indianwear-Women
Myshka,printed crepe womens dress - multi,",Medium,Small,X-Large,XX-Large",2999.0,599,80% ,Indianwear-Women
Indya,embroidered georgette round neck womens regular dress - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2950.0,1475,50% ,Indianwear-Women
Janasya,womens grey poly crepe kurta (jne1408) - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",1299.0,519,60% ,Indianwear-Women
Myshka,printed rayon collar neck womens regular kurta - green,"Size:Medium,Small,X-Large,XX-Large",1999.0,599,70% ,Indianwear-Women
Myshka,printed polyester round neck womens top - pink,"Size:Large,Medium,Small",1799.0,449,75% ,Indianwear-Women
Myshka,printed round neck womens kurti - navy,",Medium,Small,X-Large,XX-Large",2499.0,749,70% ,Indianwear-Women
Yuris,printed round neck cotton womens kurta palazzo set - pink,"Size:Large,Medium,Small,X-Large,XX-Large",3999.0,1399,65% ,Indianwear-Women
Global Desi,geometric viscose v neck womens regular kurta - rose,"Size:XL,Large,Medium,Small,X-Small,XX-Large",2299.0,1149,50% ,Indianwear-Women
Haute Curry,solid rayon regular fit womens gather top - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999.0,499,50% ,Indianwear-Women
Vastranand,solid zari silk blend festive wear womens regular saree - multi,Nan,5500.0,2475,55% ,Indianwear-Women
Juniper,womens offwhite chanderi cotton dobby dupatta with fringed border - off white,Nan,999.0,299,70% ,Indianwear-Women
Janasya,floral cotton mandarin womens salwar kurta dupatta set - black,"Size:X-Small,XXX-Large",4399.0,1539,65% ,Indianwear-Women
Stop,yarn dyed mandarin collar a-line womens kurta - blue,"Size:S,M,X-Large,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Myshka,printed rayon collar neck womens dress - red,"Size:Large,Medium,Small,X-Large,XX-Large",2999.0,749,75% ,Indianwear-Women
Aurelia,solid georgette round neck womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large",4899.0,3429,30% ,Indianwear-Women
Myshka,printed rayon round neck womens regular kurta - navy,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,449,70% ,Indianwear-Women
Indya,regular ankle length silk womens lehenga skirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",3200.0,2560,20% ,Indianwear-Women
Global Desi,floral cotton round neck womens straight tunic - blue,"Size:XL,Large,Medium,Small,X-Small",1699.0,1359,20% ,Indianwear-Women
Biba,round neck cotton tired womens dresses - yellow,"Size:34,36,38",3299.0,2639,20% ,Indianwear-Women
Myshka,printed cotton v neck womens dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",3999.0,799,80% ,Indianwear-Women
W,solid round neck cotton blend womens calf length kurta - maroon,"Size:6,8,10,12,14,16,18",0.0,1999,Nan,Indianwear-Women
Biba,printed rayon round neck womens palazzo kurta dupatta set - red,"Size:32,34,36,38,42",3799.0,2279,40% ,Indianwear-Women
De Moza,womens solid full length pleated pants - black,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1299,Nan,Indianwear-Women
Yuris,solid cotton boat neck womens kurta set - lime green,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",3999.0,1399,65% ,Indianwear-Women
Myshka,printed polyester v neck womens dress - multi,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,519,60% ,Indianwear-Women
Haute Curry,rayon round neck womens casual top - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Indianwear-Women
Janasya,solid cotton lycra casual wear womens stitched blouse - black,Nan,1099.0,549,50% ,Indianwear-Women
Kashish,embroidered viscose blend round neck womens straight fit kurta - coral,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",1599.0,799,50% ,Indianwear-Women
Haute Curry,embroidered rayon v-neck womens a-line assymetrical tunic - lime green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Indianwear-Women
Stop,solid mandarin collar straight fit womens kurta - blue,"Size:S,M,L,XL,X-Small,XX-Large",1699.0,849,50% ,Indianwear-Women
Juniper,womens black rayon solid dress with yoke embroidery and belt - black,"Size:Large,Medium,Small,X-Large,XX-Large",2399.0,959,60% ,Indianwear-Women
Biba,printed round neck rayon womens kurta - indigo,"Size:34,40",0.0,2999,Nan,Indianwear-Women
W,printed japnaese satin round neck womens ethnic set - purple,"Size:6,8,10,12,14,16,18",6599.0,4949,25% ,Indianwear-Women
Myshka,solid rayon round neck womens kurta palazzo set - black,",Medium,Small,X-Large,XX-Large",5499.0,1649,70% ,Indianwear-Women
Haute Curry,all over print lapel collar regular womens tunics & tops - peach,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,899,Nan,Indianwear-Women
Indya,embellished georgette round neck womens kurta - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2950.0,2360,20% ,Indianwear-Women
Ziyaa,printed polyester boat neck womens straight kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1343.0,537,60% ,Indianwear-Women
Yuris,floral v-neck cotton womens kurta set - multi,"Size:Medium,Small,X-Large,XX-Large,XXX-Large",3999.0,1399,65% ,Indianwear-Women
Indya,embellished nylon regular fit womens dupatta - yellow,Nan,0.0,1600,Nan,Indianwear-Women
Sanaa,printed rayon mandarin womens mid thigh length kurti - blue,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,1119,30% ,Indianwear-Women
Kashish,embroidered viscose blend round neck womens calf length kurta - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",0.0,1599,Nan,Indianwear-Women
Myshka,printed v neck womens kurti - multi,",Medium,Small,X-Large,XX-Large",1299.0,454,65% ,Indianwear-Women
Global Desi,jacquard square neck cotton womens flared dress - maroon,"Size:XL,Large,Small,X-Small",4199.0,2099,50% ,Indianwear-Women
Kashish,embroidered viscose blend round neck womens straight fit kurta - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",1599.0,799,50% ,Indianwear-Women
Kashish,embroidered round neck viscose blend womens festive set - fuschia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3499.0,1749,50% ,Indianwear-Women
Varanga,printed cotton round neck womens calf length kurta - blue,"Size:Large,Medium,XX-Large",3899.0,1169,70% ,Indianwear-Women
Juniper,womens coral silk chevron print lehenga with silk lurex choli with satin lining & cancan - coral,"Size:Large,Medium,Small,X-Large,X-Small",3999.0,1999,50% ,Indianwear-Women
Stop,solid regular fit cotton womens casual pants - charcoal,"Size:2XL/3XL,Large/X-Large,Small/Medium",0.0,699,Nan,Indianwear-Women
Janasya,womens red poly silk kurta with palazzo (set038) - red,"Size:Large,Small,X-Small,XX-Large",2549.0,892,65% ,Indianwear-Women
Juniper,embroidered cotton mandarin womens straight kurta - white,"Size:Large,Medium,Small,X-Large",2899.0,1449,50% ,Indianwear-Women
Kami Kubi,floral cotton mandarin womens a line kurta - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299.0,804,65% ,Indianwear-Women
Kashish,embroidered round neck viscose blend womens calf length kurta - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",1599.0,799,50% ,Indianwear-Women
Kami Kubi,printed cotton round neck womens unstitched dress material - yellow,Nan,3999.0,1399,65% ,Indianwear-Women
Haute Curry,printed rayon v-neck womens a-line assymetrical tunic - off white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Indianwear-Women
Yuris,printed round neck cotton womens kurta palazzo set - brown,Size:Small,3999.0,1399,65% ,Indianwear-Women
Janasya,poly crepe womens kurta - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1199.0,479,60% ,Indianwear-Women
Stop,womens printed knee length daily wear kurta - brown,Size:X-Small,799.0,399,50% ,Indianwear-Women
Aurelia,regular fit polyester womens festive skirt - blue,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,2499,Nan,Indianwear-Women
Stop,womens embroidered calf length casual wear kurta - coral,"Size:S,M,X-Small",1299.0,649,50% ,Indianwear-Women
Janasya,womens black poly crepe kurta (jne3408) - black,"Size:Large,Medium,X-Large,X-Small,XX-Large,XXX-Large",1399.0,629,55% ,Indianwear-Women
Stop,solid mandarin collar straight fit womens kurta - lime green,"Size:S,M,L,X-Large,X-Small,XX-Large",1299.0,649,50% ,Indianwear-Women
Stop,solid regular fit cotton lycra womens casual pants - mouse,"Size:XL,Large,Medium,Small,X-Small,XX-Large",0.0,999,Nan,Indianwear-Women
Myshka,printed round neck womens kurti - multi,",Medium,Small,X-Large,XX-Large",3999.0,799,80% ,Indianwear-Women
Stop,solid mandarin collar a-line womens kurta - green,"Size:S,XL,X-Small",1299.0,649,50% ,Indianwear-Women
Biba,printed polyester round neck womens palazzo kurta dupatta set - turquoise,Size:40,4995.0,2497,50% ,Indianwear-Women
Kami Kubi,floral cotton round neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,699,65% ,Indianwear-Women
Kashish,embroidered viscose blend round neck womens calf length kurta - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",0.0,1599,Nan,Indianwear-Women
Yuris,motif cotton mandarin womens regular kurta - multi,"Size:Medium,Small,XXX-Large",1799.0,809,55% ,Indianwear-Women
Varanga,embroidered halter neck silk blend womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large",6999.0,2449,65% ,Indianwear-Women
Ziyaa,printed crepe round neck womens straight kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1526.0,534,65% ,Indianwear-Women
Stop,regular fit ankle length cotton lycra womens leggings - indigo,"Size:XL,Large,Medium,Small,X-Small",499.0,349,30% ,Indianwear-Women
Stop,full length cotton lycra knitted womens churidar - black,"Size:S,M,L,X-Large,XX-Large",499.0,349,30% ,Indianwear-Women
Juniper,printed regular length georgette woven womens dupatta - pink,Nan,999.0,299,70% ,Indianwear-Women
Juniper,ethnic motifs mandarin neck cambric womens tiered dresses - indigo,"Size:Large,Medium,Small,XX-Large",2499.0,1374,45% ,Indianwear-Women
Varanga,embroidered silk blend sweetheart neck womens ethnic set - sea green,"Size:Large,Medium,Small,XX-Large",5999.0,1799,70% ,Indianwear-Women
Indya,embroidered georgette v-neck womens flared tunic - pink,Size:X-Small,3400.0,1700,50% ,Indianwear-Women
Myshka,printed jacard round neck womens kurta palazzo set - green,",X-Large,XX-Large",6499.0,1624,75% ,Indianwear-Women
Stop,printed rayon mandarin womens knee length kurta - peach,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large",799.0,559,30% ,Indianwear-Women
Janasya,womens light green poly crepe kurta (jne3395) - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1549.0,619,60% ,Indianwear-Women
Stop,womens flax mandarin collar straight fit kurta - charcoal,"Size:S,M,X-Small,XX-Large",1299.0,649,50% ,Indianwear-Women
Aurelia,dyed cotton womens straight kurta - purple,"Size:Large,Medium,Small,X-Small,XX-Large",1199.0,839,30% ,Indianwear-Women
Ziyaa,printed mandarin polyester womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2952.0,1033,65% ,Indianwear-Women
Myshka,solid cotton regular fit womens casual trousers - black,"Size:Large,Medium,X-Large,XX-Large",1299.0,454,65% ,Indianwear-Women
Indya,solid georgette regular fit womens sharara - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2100.0,1050,50% ,Indianwear-Women
Indya,shraddha kapoor for indya green georgette ethnic maxi dress - green,"Size:Small,X-Small,XX-Large",3600.0,2880,20% ,Indianwear-Women
Haute Curry,solid v neck regular womens tunics & tops - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",699.0,349,50% ,Indianwear-Women
W,printed rayon regular fit womens dress - blue,"Size:6,8,10,12,14,16,18",0.0,3999,Nan,Indianwear-Women
Kashish,embroidered round neck viscose blend womens ethnic set - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2999.0,1499,50% ,Indianwear-Women
Global Desi,womens a-line applique solid casual wear trousers - black,"Size:XL,Large,Medium,Small",1499.0,749,50% ,Indianwear-Women
Varanga,sequins mandarin silk blend designer womens ethnic set - red,"Size:Medium,Small",6799.0,2039,70% ,Indianwear-Women
Janasya,floral round neck regular fit womens kurta - maroon,"Size:Medium,Small,X-Large,X-Small",1549.0,619,60% ,Indianwear-Women
Stop,printed rayon round neck womens regular tunic - brown,"Size:XL,Large,Medium,Small,XX-Large",1299.0,649,50% ,Indianwear-Women
Stop,solid round neck straight fit womens kurta - aqua,"Size:S,M,L,X-Large,X-Small",799.0,399,50% ,Indianwear-Women
Global Desi,round neck straight women kurtas - dark green,"Size:XL,Large,Medium,Small,X-Small,XX-Large",3799.0,2469,35% ,Indianwear-Women
W,printed viscose mandarin womens straight kurta - grey,"Size:6,8,10,12,14,16",1799.0,1349,25% ,Indianwear-Women
W,printed mandarin neck straight womens kurta - blue,Size:6,1699.0,849,50% ,Indianwear-Women
Ziyaa,printed mandarin rayon womens ethnic set - brown,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2138.0,855,60% ,Indianwear-Women
Ziyaa,printed round neck crepe womens ethnic set - pink,"Size:Large,Medium,X-Large,XX-Large,XXX-Large",2307.0,807,65% ,Indianwear-Women
W,solid viscose round neck womens straight fit kurta - blue,"Size:8,14,16",1899.0,1139,40% ,Indianwear-Women
Biba,printed v neck flared womens kurta - indigo,"Size:32,34,36,38,40,42",2799.0,2239,20% ,Indianwear-Women
Aurelia,printed viscose mandarin womens straight kurta - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399.0,979,30% ,Indianwear-Women
Myshka,solid cotton round neck womens regular kurta - black,"Size:Large,Medium,Small,X-Large,XX-Large",1399.0,559,60% ,Indianwear-Women
Janasya,womens yellow crepe high low hemline kurti (jne3520) - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,524,65% ,Indianwear-Women
Myshka,printed cotton round neck womens dress - green,",Medium,Small,X-Large,XX-Large",3999.0,799,80% ,Indianwear-Women
Stop,womens solid knee length casual wear straight kurta - olive,"Size:S,M,L,X-Large,X-Small,XX-Large",899.0,449,50% ,Indianwear-Women
Juniper,womens jade green rayon embellished front slit kurta with rayon foil print flared palazzo - jade,"Size:Large,Medium,Small,X-Large,X-Small",3998.0,2198,45% ,Indianwear-Women
Juniper,cambric shirt collar womens tunic and palazzo set - blue,"Size:Medium,Small,X-Large,X-Small",4598.0,2299,50% ,Indianwear-Women
Infuse,printed cotton mandarin collar womens knee length kurta - yellow,Size:Small,799.0,399,50% ,Indianwear-Women
Shaya By Caratlane,swirl with pearls necklace in 925 silver,Nan,2800.0,2520,10% ,Indianwear-Women
Varanga,printed silk round neck womens a-line kurta - brown,"Size:Medium,X-Large,XX-Large",3699.0,1109,70% ,Indianwear-Women
W,dobby cotton blend round neck womens kurta - red,"Size:6,8,10,12,14,16,18",0.0,1799,Nan,Indianwear-Women
Biba,printed round neck a-line womens kurta - coral,"Size:38,40",1799.0,899,50% ,Indianwear-Women
Janasya,solid silk round neck womens kurta palazzo set - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",2299.0,1034,55% ,Indianwear-Women
Myshka,embroidered round neck womens kurti - maroon,",Medium,Small,X-Large,XX-Large",2999.0,749,75% ,Indianwear-Women
Ziyaa,printed polyester round neck womens straight kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1970.0,788,60% ,Indianwear-Women
Stop,womens printed knee length casual wear kurta - natural,"Size:S,M,L,X-Small,XXX-Large",799.0,399,50% ,Indianwear-Women
W,printed viscose round neck womens kurta - pink,"Size:6,8,10,12,14,16,18",1799.0,1349,25% ,Indianwear-Women
Myshka,printed organza round neck womens regular casual dress - navy,"Size:Large,Medium,Small,X-Large,XX-Large",3999.0,1199,70% ,Indianwear-Women
Aurelia,printed band collar straight womens kurta - natural,"Size:X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Global Desi,solid key hole neck straight womens kurta - mustard,"Size:XL,Large,Medium,Small,X-Small",1799.0,719,60% ,Indianwear-Women
Infuse,embroidered polyester womens full length palazzos - silver grey,"Size:2XL/3XL,Small/Medium",1399.0,419,70% ,Indianwear-Women
W,solid cotton lycra regular fit womens tights - blue,"Size:Large,Medium,Small,X-Large",799.0,599,25% ,Indianwear-Women
Juniper,polka dots georgette mandarin collar womens a-line kurta - black,"Size:Large,Medium,Small,X-Large",2699.0,944,65% ,Indianwear-Women
Biba,solid cotton mandarin womens salwar kurta dupatta set - multi,"Size:32,34,36,38,40,42",0.0,3799,Nan,Indianwear-Women
Varanga,embellished cotton round neck womens calf length kurta - navy,Size:XX-Large,3999.0,1199,70% ,Indianwear-Women
Global Desi,womens abstract v-neck flared dress - black,"Size:XL,Large,Small",2199.0,879,60% ,Indianwear-Women
Myshka,embroidered silk blend round neck womens kurta palazzo set - grey,",Medium,Small,X-Large,XX-Large",5499.0,1374,75% ,Indianwear-Women
Janasya,sequins georgette party wear designer womens sarees - green,Nan,3859.0,1350,65% ,Indianwear-Women
Indya,printed georgette regular fit womens sharara - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2450.0,1225,50% ,Indianwear-Women
Stop,boat neck womens kurta - sky blue,"Size:S,M,L,X-Large,X-Small,XX-Large",1199.0,599,50% ,Indianwear-Women
Biba,solid band collar straight womens kurti - coral,Size:34,1299.0,649,50% ,Indianwear-Women
Juniper,geometric georgette round neck womens tiered dress - black,"Size:Large,Medium,Small",3299.0,1979,40% ,Indianwear-Women
Aurelia,printed viscose womens straight kurta - grey,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,1049,30% ,Indianwear-Women
Ziyaa,floral mandarin polyester womens ethnic set - navy,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1874.0,843,55% ,Indianwear-Women
Indya,embellished georgette round neck womens kurta - purple,"Size:Large,Medium,Small,X-Large,X-Small",2600.0,2080,20% ,Indianwear-Women
Infuse,fitted full length cotton lycra womens churidar - natural,"Size:Large,Medium,Small,X-Large,XX-Large",1099.0,329,70% ,Indianwear-Women
Global Desi,solid viscose cotton key hole neck womens kurta - white,"Size:XL,Large,Medium,Small,X-Small,XX-Large",1799.0,899,50% ,Indianwear-Women
Biba,printed round neck polyester womens straight kurta - black,"Size:32,34,38,40",1599.0,959,40% ,Indianwear-Women
Biba,printed cotton round neck womens straight fit kurta - blue,"Size:34,36,38,40",1999.0,1199,40% ,Indianwear-Women
Stop,womens printed knee length casual wear kurta - black,"Size:S,M,X-Small",799.0,399,50% ,Indianwear-Women
Haute Curry,printed ankle length casual wear shirt dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Indya,embellished georgette womens festive wear saree - purple,"Size:Medium,Small",3600.0,1800,50% ,Indianwear-Women
Varanga,embroidered round neck cotton womens ethnic set - blue,"Size:Medium,Small",6999.0,2099,70% ,Indianwear-Women
Infuse,printed cotton mandarin collar womens knee length kurta - black,"Size:Medium,Small,X-Small",799.0,399,50% ,Indianwear-Women
Varanga,gotta patti embellished silk halter neck womens regular fit kurta - cream,"Size:Large,Medium,Small",2999.0,899,70% ,Indianwear-Women
Haute Curry,solid denim womens ankle length palazzo - indigo,"Size:Large,Medium,Small,X-Large",0.0,1299,Nan,Indianwear-Women
Sanaa,printed rayon boat neck womens mid thigh length kurti - blue,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,1049,30% ,Indianwear-Women
Biba,printed round neck polyester womens straight kurta - off white,"Size:34,38",2299.0,1609,30% ,Indianwear-Women
Aurelia,printed cotton mandarin womens flared dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,3999,Nan,Indianwear-Women
Ziyaa,printed crepe boat neck womens straight kurta - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1373.0,617,55% ,Indianwear-Women
Kashish,printed cotton satin round neck a-line womens calf length kurta - sea green,"Size:Small,X-Large,X-Small",1799.0,899,50% ,Indianwear-Women
Biba,yarn dyed cotton round neck womens ethnic set - black,"Size:32,34,36,38",3299.0,1979,40% ,Indianwear-Women
Indya,regular ankle length georgette womens skirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",3400.0,1700,50% ,Indianwear-Women
Haute Curry,printed lapel collar flex womens a-line dress - lavender,"Size:Large,Medium,Small,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Stop,womens free size printed dupatta - orange,Nan,999.0,499,50% ,Indianwear-Women
Juniper,embroidered cotton dobby round neck womens a line tunic - white,"Size:Large,Medium,Small,X-Large",1599.0,1039,35% ,Indianwear-Women
W,solid poly viscose collar neck womens flared dress - red,"Size:6,8,10,12,14,16,18",3599.0,2699,25% ,Indianwear-Women
Kashish,full length net woven womens dupatta - gold,Nan,1299.0,649,50% ,Indianwear-Women
Yuris,buttons round neck cotton womens kurta palazzo set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2899.0,1159,60% ,Indianwear-Women
Ziyaa,floral round neck rayon womens ethnic set - navy,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2677.0,1070,60% ,Indianwear-Women
Kashish,embroidered round neck viscose blend womens ethnic set - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3799.0,1899,50% ,Indianwear-Women
Varanga,embroidered silk blend round neck womens ethnic set - magenta,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,5599,Nan,Indianwear-Women
Janasya,printed silk festive wear womens saree with blouse piece - red,Nan,3379.0,1351,60% ,Indianwear-Women
Aurelia,yarn dyed cotton round neck womens ethnic set - peach,"Size:Large,Medium,Small,X-Large,XX-Large",1999.0,1399,30% ,Indianwear-Women
Stop,womens regular fit printed kurta - red,"Size:S,M,X-Small",999.0,499,50% ,Indianwear-Women
Stop,embroidered rayon round neck womens regular tunic - navy,"Size:XL,Large,Medium,Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Madame,solid cotton blend womens ankle length palazzo - orange,"Size:Large,Medium,Small,X-Large,XX-Large",1799.0,899,50% ,Indianwear-Women
Ritu Kumar,sweetheart neck chiffon womens long dress - multi,"Size:Large,Medium,Small,X-Small",0.0,7900,Nan,Indianwear-Women
Juniper,printed rayon round neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large",2499.0,1249,50% ,Indianwear-Women
Myshka,embroidered round neck womens kurti - grey,",Medium,Small,X-Large,XX-Large",2999.0,749,75% ,Indianwear-Women
Infuse,embroidered cotton womens full length palazzos - navy,"Size:Large/X-Large,Small/Medium",1499.0,599,60% ,Indianwear-Women
Kashish,embroidered mandarian collar straight fit womens kurta - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,899,50% ,Indianwear-Women
Myshka,solid silk mandarin womens regular casual dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",5999.0,1499,75% ,Indianwear-Women
Kami Kubi,floral cotton v neck womens regular top - blue,"Size:Large,Medium,Small,X-Small",1399.0,489,65% ,Indianwear-Women
Juniper,printed georgette round neck womens a line dress - yellow,"Size:Medium,Small",0.0,3499,Nan,Indianwear-Women
Janasya,cotton slub womens tunic - black,"Size:Large,Medium,X-Large,XX-Large,XXX-Large",1499.0,749,50% ,Indianwear-Women
Biba,printed band collar straight fit womens kurta - yellow,Size:38,1999.0,1399,30% ,Indianwear-Women
Yuris,floral cotton round neck womens kurta set - peach,"Size:Large,Medium,Small,XX-Large,XXX-Large",3999.0,1399,65% ,Indianwear-Women
Yuris,ethnic motifs boat neck cotton womens kurta set - multi,"Size:Large,X-Large,XX-Large,XXX-Large",3999.0,1399,65% ,Indianwear-Women
Yuris,printed mandarin neck cotton womens flared ethnic dress - navy,"Size:Large,X-Large,XX-Large",1999.0,999,50% ,Indianwear-Women
Juniper,printed rayon round neck womens straight kurta - black,"Size:Large,Medium,Small,X-Large",2099.0,944,55% ,Indianwear-Women
Myshka,printed cotton womens dress - pink,",Medium,Small,X-Large,XX-Large",2499.0,499,80% ,Indianwear-Women
Varanga,mandarin collar womens kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,879,45% ,Indianwear-Women
Vastranand,solid zari cotton blend festive wear womens regular saree - orange,Nan,3000.0,1500,50% ,Indianwear-Women
Aurelia,dyed cotton v-neck womens knee length kurta - red,Size:XX-Large,799.0,399,50% ,Indianwear-Women
Kashish,embroidered mandarian collar a-line fit womens kurta - lavender,"Size:Medium,Small,X-Small",1999.0,999,50% ,Indianwear-Women
Haute Curry,womens rayon mandarin collar straight fit tops & tunics - rust,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Indianwear-Women
Myshka,printed cotton round neck womens dress - navy,"Size:Large,Medium,Small,X-Large,XX-Large",1999.0,799,60% ,Indianwear-Women
Stop,womens flax mandarin collar straight fit kurta - maroon,Size:X-Small,999.0,499,50% ,Indianwear-Women
Varanga,womens round neck floral kurta - off white,"Size:Medium,X-Large,XX-Large",2499.0,1374,45% ,Indianwear-Women
Stop,solid straight fit polyester womens casual wear palazzo - olive,"Size:2XL/3XL,Large/X-Large,Small/Medium",899.0,359,60% ,Indianwear-Women
Indya,embellished nylon regular fit womens dupatta - green,Nan,0.0,1600,Nan,Indianwear-Women
Kashish,embroidered round neck straight fit womens kurta - coral,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",1599.0,799,50% ,Indianwear-Women
Myshka,printed cotton round neck womens kurta palazzo set - mustard,"Size:Large,Small,X-Large",3999.0,1199,70% ,Indianwear-Women
Juniper,solid rayon regular fit womens full length palazzos - off white,"Size:4X-Large,5X-Large,X-Large",1899.0,664,65% ,Indianwear-Women
Global Desi,solid viscose round neck womens straight tunic - indigo,"Size:XL,Large,Medium,Small,X-Small,XX-Large",2899.0,2319,20% ,Indianwear-Women
Stop,womens printed knee length daily wear kurta - indigo,Size:X-Small,799.0,399,50% ,Indianwear-Women
Haute Curry,solid flex womens ankle length palazzo - olive,"Size:Large,Medium,Small,X-Large",0.0,999,Nan,Indianwear-Women
Aurelia,elfino chiffon woven womens dupatta - pink,Nan,699.0,419,40% ,Indianwear-Women
Aurelia,solid cotton flax womens non festive trousers - white,"Size:Large,Small,X-Large,X-Small",0.0,899,Nan,Indianwear-Women
Janasya,solid silk round neck womens kurta palazzo set with dupatta - grey,"Size:Large,Medium,Small,X-Large,X-Small,XXX-Large",2649.0,1324,50% ,Indianwear-Women
W,printed cotton mandarin womens calf length kurta - ecru,"Size:6,8,10,12,14,16,18",0.0,1899,Nan,Indianwear-Women
Indya,printed silk round neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1500.0,1200,20% ,Indianwear-Women
Yuris,floral round neck cotton womens kurta set - multi,"Size:Large,Small,X-Large,XX-Large",3499.0,1399,60% ,Indianwear-Women
Infuse,embroidered chanderi round neck womens kurta - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,999,50% ,Indianwear-Women
Ziyaa,floral rayon round neck womens ethnic set - mustard,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2550.0,1020,60% ,Indianwear-Women
Yuris,floral mandarin cotton womens kurta set - multi,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",4299.0,1504,65% ,Indianwear-Women
Infuse,woven poly silk dupatta - off white,Nan,999.0,399,60% ,Indianwear-Women
Haute Curry,solid round neck regular womens tunics & tops - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399,50% ,Indianwear-Women
